caption,commentsCount,date
"O Brasil é o único país do mundo com mais de 100 milhões de habitantes que oferece acesso universal e gratuito aos serviços de saúde por meio do SUS, com atendimento integral e sem custos para toda a população. 

O assunto é o tema central do filme Por Um Fio, em breve nos cinemas. 

Viva a cultura! Viva o SUS! 

🎥 @ricardostuckert",59120,2026-04-08
"Professor Carlo Ancelotti e jogadores da nossa querida Seleção Brasileira, o recado de hoje é para vocês.

Começou a Copa do Mundo e agora é hora de jogar com raça, vontade, entrega e espírito de equipe. Futebol se ganha dentro das quatro linhas, com concentração, dedicação, treino e, principalmente, bola na rede.

Quero desejar boa sorte a cada jogador. Vocês estão vestindo a camisa de um país inteiro. Eu, a @janjalula , e milhões de brasileiros estamos torcendo por vocês 🇧🇷

🎥 @ricardostuckert",57903,2026-06-13
"Uma noite inesquecível na Sapucaí. Niterói, Imperatriz, Portela e Mangueira: Quatro escolas e uma só emoção. Quanta criatividade e talento juntos na avenida. Foi lindo. Obrigado, Rio!

🎥 @ricardostuckert",43661,2026-02-16
"Reunião muito produtiva com o presidente dos Estados Unidos, @POTUS, na Casa Branca.

📸 @ricardostuckert",40028,2026-05-07
"Conheci o Douglas, filho de diarista e de pedreiro, que estudou por meio do ProUni e agora é o mais novo diplomata do Brasil. 

Histórias como a do Douglas são reais. Ele seguiu o exemplo de perseverança da mãe e, com oportunidades e apoio, conquistou o sonho de se formar no ensino superior e passar em um concurso público. 

Te vejo no Itamaraty, Douglas! Boa sorte! 

🎥 @ricardostuckert",38081,2026-01-15
